,date,open,high,low,adj_close**,sentiments
99,2019-05-29,1127.52,1129.1,1108.22,1116.46,0.19916013888888887
98,2019-05-30,1115.54,1123.13,1112.12,1117.95,0.024045416666666666
97,2019-05-31,1101.29,1109.6,1100.18,1103.63,0.1993236111111111
96,2019-06-03,1065.5,1065.5,1025.0,1036.23,0.14098861111111113
95,2019-06-04,1042.9,1056.05,1033.69,1053.05,0.13923652777777776
94,2019-06-05,1051.54,1053.55,1030.49,1042.22,0.12800930555555554
93,2019-06-06,1044.99,1047.49,1033.7,1044.34,-0.12193194444444444
92,2019-06-07,1050.63,1070.92,1048.4,1066.04,0.0028344444444444498
91,2019-06-10,1072.98,1092.66,1072.32,1080.38,-0.11624875000000001
90,2019-06-11,1093.98,1101.99,1077.6,1078.72,0.17384097222222225
89,2019-06-12,1078.0,1080.93,1067.54,1077.03,0.15811805555555555
88,2019-06-13,1083.64,1094.17,1080.15,1088.77,0.14534208333333334
87,2019-06-14,1086.42,1092.69,1080.17,1085.35,0.19300083333333332
86,2019-06-17,1086.28,1099.18,1086.28,1092.5,0.16759
85,2019-06-18,1109.69,1116.39,1098.99,1103.6,0.18169000000000002
84,2019-06-19,1105.6,1107.0,1093.48,1102.33,0.19526888888888885
83,2019-06-20,1119.99,1120.12,1104.74,1111.42,0.1631773611111111
82,2019-06-21,1109.24,1124.11,1108.08,1121.88,0.18956916666666665
81,2019-06-24,1119.61,1122.0,1111.01,1115.52,0.02926041666666666
80,2019-06-25,1112.66,1114.35,1083.8,1086.35,-0.007065138888888887
79,2019-06-26,1086.5,1092.97,1072.24,1079.8,0.18334375
78,2019-06-27,1084.0,1087.1,1075.29,1076.01,0.033701527777777775
77,2019-06-28,1076.39,1081.0,1073.37,1080.91,0.18019333333333334
76,2019-07-01,1098.0,1107.58,1093.7,1097.95,0.201865
75,2019-07-02,1102.24,1111.77,1098.17,1111.25,0.1952384722222222
74,2019-07-03,1117.41,1126.76,1113.86,1121.58,0.17181680555555556
73,2019-07-05,1117.8,1132.88,1116.14,1131.59,0.03428916666666666
72,2019-07-08,1125.17,1125.98,1111.21,1116.35,-0.09603388888888888
71,2019-07-09,1111.8,1128.03,1107.17,1124.83,0.15065125
70,2019-07-10,1131.22,1142.05,1130.97,1140.48,0.19302958333333334
69,2019-07-11,1143.25,1153.07,1139.58,1144.21,0.17747958333333336
